	average	sd	ratio	ava	avb	cumsum	p
18:1	0.023	0.022	1.030	8.688	6.533	0.122	0.207
14:0	0.022	0.009	2.324	3.546	0.808	0.235	0.007
16:1	0.018	0.014	1.324	7.403	5.444	0.332	0.301
13:0	0.015	0.015	0.980	1.953	0.000	0.409	0.677
16:0	0.012	0.009	1.380	9.491	8.564	0.471	0.534
18:2n-6c	0.012	0.011	1.082	5.728	4.426	0.532	0.603
15:0	0.010	0.004	2.334	1.616	0.281	0.587	0.001
18:4n-3	0.008	0.005	1.493	1.147	0.315	0.629	0.003
18:3n-3	0.007	0.007	1.005	2.981	2.134	0.667	0.161
22:1	0.007	0.005	1.561	2.920	3.774	0.705	0.450
